noisy_video_path,gt_video_path,camera_params_path
./test/clips/noisy_5K_fb75dbc22ecd7743412da959f5fcde36bd6ba0a20f140ca4b7def257a471499d_te8_00304.mp4,./test/clips/gt_5K_fb75dbc22ecd7743412da959f5fcde36bd6ba0a20f140ca4b7def257a471499d_te8_00304.mp4,./test/cameras/cam_5K_fb75dbc22ecd7743412da959f5fcde36bd6ba0a20f140ca4b7def257a471499d_te8_00304.json
./test/clips/noisy_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00240.mp4,./test/clips/gt_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00240.mp4,./test/cameras/cam_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00240.json
./test/clips/noisy_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00120.mp4,./test/clips/gt_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00120.mp4,./test/cameras/cam_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00120.json
./test/clips/noisy_1K_59e01f4fb653f2251febf78e5fbd39e42a6754e2bffb86cde31842821235291e_te20_00360.mp4,./test/clips/gt_1K_59e01f4fb653f2251febf78e5fbd39e42a6754e2bffb86cde31842821235291e_te20_00360.mp4,./test/cameras/cam_1K_59e01f4fb653f2251febf78e5fbd39e42a6754e2bffb86cde31842821235291e_te20_00360.json
./test/clips/noisy_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00220.mp4,./test/clips/gt_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00220.mp4,./test/cameras/cam_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00220.json
./test/clips/noisy_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00280.mp4,./test/clips/gt_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00280.mp4,./test/cameras/cam_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00280.json
./test/clips/noisy_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00140.mp4,./test/clips/gt_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00140.mp4,./test/cameras/cam_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00140.json
./test/clips/noisy_5K_fb75dbc22ecd7743412da959f5fcde36bd6ba0a20f140ca4b7def257a471499d_te8_00080.mp4,./test/clips/gt_5K_fb75dbc22ecd7743412da959f5fcde36bd6ba0a20f140ca4b7def257a471499d_te8_00080.mp4,./test/cameras/cam_5K_fb75dbc22ecd7743412da959f5fcde36bd6ba0a20f140ca4b7def257a471499d_te8_00080.json
./test/clips/noisy_4K_8b10789be3fa80f5fd0ae51086ba9b1ace7a61b31e6f3c579be7aed7266350f0_te12_00192.mp4,./test/clips/gt_4K_8b10789be3fa80f5fd0ae51086ba9b1ace7a61b31e6f3c579be7aed7266350f0_te12_00192.mp4,./test/cameras/cam_4K_8b10789be3fa80f5fd0ae51086ba9b1ace7a61b31e6f3c579be7aed7266350f0_te12_00192.json
./test/clips/noisy_4K_7f669472c9bc894d3311110dd95dfb4eb045f2113a24ee9c089f95b2a870ec79_te24_00144.mp4,./test/clips/gt_4K_7f669472c9bc894d3311110dd95dfb4eb045f2113a24ee9c089f95b2a870ec79_te24_00144.mp4,./test/cameras/cam_4K_7f669472c9bc894d3311110dd95dfb4eb045f2113a24ee9c089f95b2a870ec79_te24_00144.json
./test/clips/noisy_1K_59e01f4fb653f2251febf78e5fbd39e42a6754e2bffb86cde31842821235291e_te20_00080.mp4,./test/clips/gt_1K_59e01f4fb653f2251febf78e5fbd39e42a6754e2bffb86cde31842821235291e_te20_00080.mp4,./test/cameras/cam_1K_59e01f4fb653f2251febf78e5fbd39e42a6754e2bffb86cde31842821235291e_te20_00080.json
./test/clips/noisy_4K_8b10789be3fa80f5fd0ae51086ba9b1ace7a61b31e6f3c579be7aed7266350f0_te12_00216.mp4,./test/clips/gt_4K_8b10789be3fa80f5fd0ae51086ba9b1ace7a61b31e6f3c579be7aed7266350f0_te12_00216.mp4,./test/cameras/cam_4K_8b10789be3fa80f5fd0ae51086ba9b1ace7a61b31e6f3c579be7aed7266350f0_te12_00216.json
./test/clips/noisy_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00200.mp4,./test/clips/gt_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00200.mp4,./test/cameras/cam_1K_891855ef05a4d69fa5657ced0785bd575851ce522eaa7c4fb66044a10d6a1c7b_te10_00200.json
./test/clips/noisy_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00240.mp4,./test/clips/gt_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00240.mp4,./test/cameras/cam_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00240.json
./test/clips/noisy_4K_7f669472c9bc894d3311110dd95dfb4eb045f2113a24ee9c089f95b2a870ec79_te24_00192.mp4,./test/clips/gt_4K_7f669472c9bc894d3311110dd95dfb4eb045f2113a24ee9c089f95b2a870ec79_te24_00192.mp4,./test/cameras/cam_4K_7f669472c9bc894d3311110dd95dfb4eb045f2113a24ee9c089f95b2a870ec79_te24_00192.json
./test/clips/noisy_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00040.mp4,./test/clips/gt_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00040.mp4,./test/cameras/cam_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00040.json
./test/clips/noisy_6K_0d2d5bb86d50a92056aa8f4c6dc59fa1fe3ce8565ffd36af6565cf08dd2191b6_te16_00128.mp4,./test/clips/gt_6K_0d2d5bb86d50a92056aa8f4c6dc59fa1fe3ce8565ffd36af6565cf08dd2191b6_te16_00128.mp4,./test/cameras/cam_6K_0d2d5bb86d50a92056aa8f4c6dc59fa1fe3ce8565ffd36af6565cf08dd2191b6_te16_00128.json
./test/clips/noisy_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00080.mp4,./test/clips/gt_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00080.mp4,./test/cameras/cam_1K_fe30a8657df5caa5e33f6c128dc3bc029d337395e9f3d7a17d1ce85ebe83a5c5_te10_00080.json
